Machine Learning Model,Accuracy%,RMSE,MSE,MAE,BIC,Total time (hh:mm:ss)
ExtraTrees Regressor,97.87%,9376.285131732086,87914722.87154019,3726.3115134553814,20493.676331995775,00:00:01
Ensemble (ExtraTrees Regressor+Ridge Regression),97.65%,9860.568523952012,97230811.61555317,4740.7040372571055,20605.97954098324,00:00:01
Ridge Regression,97.44%,10277.878294329563,105634782.23305076,5998.284667428655,20698.41308678933,00:00:00
Random Forest,97.43%,10298.49393264554,106058977.28073703,3609.911603141314,20702.881599345415,00:00:02
Linear Regression,97.41%,10342.24897662836,106962113.89457037,6139.377444993638,20712.336093756512,00:00:00
CatBoost,95.29%,13960.09722191561,194884314.44533592,4891.466067156703,21381.259635140876,00:00:05
Light Gradient Boosting Model,95.29%,13960.09722191561,194884314.44533592,4891.466067156703,21381.259635140876,00:00:00
XGBoost,94.20%,15488.35887647624,239889260.68652034,5434.4852110526035,21612.924612107352,00:00:00
Neural Network,-0.20%,64361.99592056861,4142466518.87929,51711.906933432336,24789.41384132213,00:00:01
Support Vector Machine,-10.86%,67700.8718030207,4583408042.889042,59205.02056984113,24902.197705439597,00:00:00
