iter	Passed	Remaining
0	71	71344
1	75	37652
2	77	25702
3	79	19681
4	80	15971
5	81	13498
6	82	11732
7	87	10824
8	89	9835
9	91	9062
10	93	8370
11	96	7916
12	98	7499
13	100	7093
14	102	6748
15	104	6433
16	107	6212
17	109	5974
18	110	5729
19	112	5510
20	114	5358
21	116	5189
22	118	5033
23	120	4880
24	121	4744
25	123	4635
26	126	4540
27	127	4440
28	130	4372
29	132	4278
30	133	4173
31	135	4102
32	137	4034
33	139	3960
34	140	3882
35	142	3815
36	144	3770
37	146	3699
38	147	3639
39	149	3581
40	151	3538
41	152	3485
42	155	3458
43	156	3403
44	158	3353
45	159	3316
46	161	3280
47	163	3242
48	165	3211
49	167	3178
50	169	3148
51	171	3134
52	173	3104
53	176	3083
54	177	3055
55	179	3023
56	181	2995
57	182	2969
58	184	2935
59	186	2914
60	188	2896
61	189	2872
62	191	2847
63	193	2827
64	194	2804
65	197	2799
66	198	2768
67	200	2752
68	202	2733
69	204	2717
70	206	2701
71	208	2691
72	210	2676
73	212	2663
74	214	2643
75	216	2627
76	217	2607
77	219	2590
78	220	2570
79	221	2552
80	224	2544
81	226	2535
82	228	2528
83	229	2507
84	231	2495
85	234	2490
86	236	2477
87	237	2463
88	240	2461
89	242	2448
90	243	2432
91	244	2417
92	246	2402
93	247	2387
94	249	2376
95	250	2360
96	252	2353
97	253	2336
98	255	2321
99	256	2310
100	258	2305
101	260	2295
102	262	2286
103	264	2279
104	266	2272
105	268	2265
106	270	2260
107	272	2254
108	275	2253
109	277	2246
110	279	2236
111	281	2228
112	283	2221
113	284	2212
114	286	2204
115	288	2196
116	289	2188
117	291	2178
118	293	2172
119	294	2162
120	296	2153
121	298	2146
122	300	2141
123	301	2131
124	303	2121
125	304	2114
126	306	2108
127	307	2096
128	309	2090
129	311	2087
130	313	2082
131	315	2077
132	317	2069
133	319	2064
134	321	2059
135	322	2049
136	324	2044
137	325	2035
138	327	2030
139	330	2031
140	332	2026
141	334	2022
142	336	2018
143	338	2009
144	339	2002
145	341	1995
146	343	1990
147	344	1985
148	346	1978
149	347	1971
150	350	1968
151	352	1964
152	354	1963
153	356	1961
154	358	1956
155	360	1951
156	363	1951
157	364	1944
158	366	1936
159	368	1933
160	370	1931
161	372	1928
162	374	1920
163	375	1915
164	377	1911
165	378	1903
166	380	1897
167	382	1892
168	384	1891
169	386	1885
170	387	1880
171	389	1877
172	391	1871
173	394	1870
174	395	1866
175	397	1862
176	399	1856
177	401	1854
178	403	1849
179	404	1843
180	407	1845
181	410	1845
182	412	1840
183	414	1836
184	415	1830
185	418	1830
